title,author_name,author_gender,pub_year,min_age,target_audience,character_gender,genre,character_type,source
Gossie,Oliver Dunrea,male,2002,4,preschool,female,fiction,non-human,Early Childhood Education Degrees
Grace Hopper: Queen of Computer Code,Laurie Wallmark,female,2017,5,preschool,female,non-fiction,human,Barnes & Noble
Gracias / Thanks,Pat Mora,female,2009,3,preschool,male,fiction,human,ALSC
Grandaddy's Stars,Helen Griffith,female,1995,4,preschool,female,fiction,human,ALSC
Grandfather's Journey,Allen Say,male,1993,5,preschool,male,non-fiction,human,TIME
Grandma Gatewood Hikes the Appalachian Trail,Jennifer Thermes,female,2018,5,preschool,female,non-fiction,human,Fatherly
Grandma Lives in a Perfume Village,Fang Suzhen,female,2015,4,preschool,male,fiction,human,ALSC
Grandma's Gift,Eric Velasquez,male,2010,4,preschool,male,non-fiction,human,ALSC
Grandma's Tiny House: A Counting Story,JaNay Brown-Wood,female,2017,2,infant/toddler,female,fiction,human,Charlesbridge
Grandmother Bryant's Pocket,Jacqueline Briggs Martin,female,1996,4,preschool,female,fiction,human,CLC Awards
Grandpa Green,Lane Smith,male,2011,5,preschool,male,fiction,human,Scottsdale Library
Grandpa's Top Threes,Wendy Meddour,female,2019,2,infant/toddler,male,fiction,human,ALSC
Granny the Pag,Nina Bawden,female,1995,10,middle elementary,female,fiction,human,ALSC
Granny Torrelli Makes Soup,Sharon Creech ,female,2003,8,early elementary,female,fiction,human,ALSC
Grasshopper on the Road,Arnold Lobel,male,1978,4,preschool,male,fiction,non-human,What Do We Do All Day
"Great Choice, Camille!",Stuart Murphy,male,2013,2,infant/toddler,female,fiction,non-human,Charlesbridge
Great Expectations (Treasury of Illustrated Classics),Nicole Vittiglio,female,2004,12,late elementary,male,fiction,human,Paperback Swap
Green Eggs and Ham,Dr. Seuss,male,1960,3,preschool,male,fiction,non-human,Thrive Global
Gregor Mendel: The Friar Who Grew Peas,Cheryl Bardoe,female,2006,5,preschool,male,non-fiction,human,Childhood101
Greyfriars Bobby,Michelle Sloan,female,2019,4,preschool,male,fiction,non-human,CBSD
Grin and Bear It,Leo Landry,male,2011,5,preschool,male,fiction,non-human,ALSC
Grobblechops,Elizabeth Laird,female,2019,4,preschool,male,fiction,human,CBSD
Groundhog's Dilemma,Kristen Remenar,female,2015,3,preschool,male,fiction,non-human,Charlesbridge
Groundhog's Runaway Shadow,David Bierdrzycki,male,2016,4,preschool,male,fiction,non-human,Charlesbridge
Growing Frogs,Vivian French,female,2000,4,preschool,female,fiction,human,Childhood101
Growing Up Pedro,Matt Tavares,male,2015,8,early elementary,male,non-fiction,human,ALSC
Grug,Ted Prior,male,1979,3,preschool,male,fiction,non-human,Childhood101
Grumpy Bird,Jeremy Tankard,male,2016,4,preschool,male,fiction,non-human,Today's Parent
Grumpy Frog ,Ed Vere,male,2017,3,preschool,male,fiction,non-human,Childhood101
Guess How Much I Love You,Sam McBratney,male,1988,0,infant/toddler,male,fiction,non-human,Today
Guests,Michael Dorris,male,1994,9,middle elementary,male,fiction,human,ALSC
Guji Guji,Chih-Yuan Chen,male,2003,5,preschool,male,fiction,non-human,ALSC
Gus and Grandpa at Basketball,Claudia Mills,female,2001,6,early elementary,male,fiction,human,ALSC
Gus's Garage,Leo Timmers,male,2016,3,preschool,male,fiction,human,Bookvine
Habibi,Naomi Shihab Nye,female,1997,12,late elementary,female,fiction,human,ALSC
Hair Love�,Matthew Cherry,male,2019,4,preschool,female,fiction,human,Brightly
Hairy Maclary's Bone,Lynley Dodd,female,1984,4,preschool,male,fiction,non-human,Childhood101
Half a Chance,Cynthia Lord,female,2014,8,early elementary,female,fiction,human,ALSC
Half-Witch,John Schoffstall,male,2018,12,late elementary,female,fiction,human,CBSD
Hammering for Freedom,Rita Loraine Hubbard,female,2018,8,early elementary,male,non-fiction,human,ALSC
Hampster Princess,Ursula Vernon,female,2015,8,early elementary,female,fiction,non-human,ALSC
Hampster Princess: Giant Trouble,Ursula Vernon,female,2017,8,early elementary,female,fiction,non-human,ALSC
Hampster Princess: Harriet the Invincible,Ursula Vernon,female,2015,8,early elementary,female,fiction,non-human,CBSD
Hampster Princess: Little Red Rodenthood,Ursula Vernon,female,2018,8,early elementary,female,fiction,non-human,ALSC
Hampster Princess: Of Mice and Magic,Ursula Vernon,female,2016,8,early elementary,female,fiction,non-human,ALSC
Hampster Princess: Ratpunzel,Ursula Vernon,female,2016,8,early elementary,female,fiction,non-human,ALSC
Hampster Princess: Whiskerella,Ursula Vernon,female,2018,8,early elementary,female,fiction,non-human,ALSC
Hana's Suitcase: A True Story,Karen Levine,female,2002,10,middle elementary,female,non-fiction,human,ALSC
Handa�s Surprise,Eileen Browne,female,1994,5,preschool,female,fiction,human,Childhood101
Handel: Who Knew What He Liked,M.T. Anderson,male,2001,8,early elementary,male,non-fiction,human,ALSC
Hands: Growing Up to Be an Artist,Lois Ehlert,female,2004,4,preschool,female,fiction,human,Bookvine
Hans Christian Andersen: His Fairy Tale Life,Hjordis Varmer,female,2005,10,middle elementary,male,non-fiction,human,ALSC
"Happy, Healthy Ajay!",Stuart Murphy,male,2012,2,infant/toddler,male,fiction,non-human,Charlesbridge
Harley,Star Livingston,female,2001,6,early elementary,male,fiction,non-human,ALSC
Harriet the Spy,Louise Fitzhugh,female,1964,8,early elementary,female,fiction,human,NYPL
Harry & Hopper,Margaret Wild,female,2009,2,infant/toddler,male,fiction,human,ALSC
Harry and the Bucketful of Dinosaurs,Ian Whybrow,male,1999,3,preschool,male,fiction,human,Childhood101
Harry By the Sea,Gene Zion,male,1965,4,preschool,male,fiction,non-human,Childhood101
Harry Maclary from Donaldson's Diary,Lynley Dodd,female,1983,3,preschool,male,fiction,non-human,Bilingual Kids Spot
Harry Potter and the Chamber of Secrets,J.K. Rowling,female,1998,9,middle elementary,male,fiction,human,ALSC
Harry Potter and the Deathly Hallows,J.K. Rowling,female,2007,9,middle elementary,male,fiction,human,ALSC
Harry Potter and the Goblet of Fire,J.K. Rowling,female,2000,9,middle elementary,male,fiction,human,ALSC
Harry Potter and the Half-Blood Prince,J.K. Rowling,female,2005,9,middle elementary,male,fiction,human,NYPL
Harry Potter and the Order of the Phoenix,J.K. Rowling,female,2003,9,middle elementary,male,fiction,human,ALSC
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,female,1999,9,middle elementary,male,fiction,human,Goodreads
Harry Potter and the Sorcerer�s Stone,J.K. Rowling ,female,1997,9,middle elementary,male,fiction,human,NYPL
Harry Styles: Evolution of a Modern Superstar,Malcolm Croft,male,2018,10,middle elementary,male,non-fiction,human,Sterling Publishing
Harry Sue,Sue Stauffacher,female,2005,9,middle elementary,female,fiction,human,ALSC
Harvesting Hope: The Story of Cesar Chavez,Kathleen Krull,female,2003,4,preschool,male,non-fiction,human,ALSC
Harvey Potter's Balloon Farm,Mark Buehner,male,1994,4,preschool,male,fiction,human,ALSC
Hatchet,Gary Paulsen,male,1989,10,middle elementary,male,fiction,human,NYPL
Hatseller and the Monkeys,Baba Wague Diakite,male,1999,4,preschool,male,fiction,human,ALSC
Hattie and the Fox,Mem Fox,male,1986,3,preschool,female,fiction,non-human,Childhood101
Hattie Big Sky,Kirby Larson,female,2006,12,late elementary,female,fiction,human,ALSC
Hattie Helps Out,Jane Godwin and Davina Bell,female,2016,0,infant/toddler,female,fiction,human,Childhood101
Have Fun Anna Hibiscus!,Atinuke,female,2007,6,early elementary,female,fiction,human,What Do We Do All Day
"Have Fun, Molly Lou Melon",Patty Lovell,female,2012,5,preschool,female,fiction,human,Childhood101
Have You Seen My Dinosaur?,Jon Surgal,male,2010,4,preschool,male,fiction,human,Childhood101
Have You Seen My Dragon?,Steve Light,male,2014,2,infant/toddler,male,fiction,human,ALSC
Haydn's Farewell Symphony,Anna Harwell Celenza,female,2000,6,early elementary,male,fiction,human,Charlesbridge
Heart and Soul: The Story of America and African Americans,Kadir Nelson,male,2011,6,early elementary,female,fiction,human,ALSC
Heart of Samurai,Margi Preus,female,2010,10,middle elementary,male,non-fiction,human,ALSC
Heat,Mike Lupica,male,2006,10,middle elementary,male,fiction,human,ALSC
Heather Has Two Mommies�,Leslea Newman,female,1989,4,preschool,female,fiction,human,Time Out
Heaven Eyes,David Almond,male,2000,12,late elementary,female,fiction,human,ALSC
Heck Superhero,Martine Leavitt,male,2004,10,middle elementary,male,fiction,human,ALSC
"Hector: A Boy, a Protest, and the Photograph That Changed Apartheid",Adrienne Wright,female,2019,8,early elementary,male,non-fiction,human,ALSC
Hedy Lamarr's Double Life: Hollywood Legend and Brilliant Inventor,Laurie Wallmark,female,2018,5,preschool,female,non-fiction,human,Barnes & Noble
Helen Keller: Rebellious Spirit,Laurie Lawlor,female,2001,4,preschool,female,non-fiction,human,ALSC
Helen's Big World: The Life of Helen Keller,Doreen Rappaport,female,2012,6,early elementary,female,non-fiction,human,ALSC
Hello Lighthouse,Sophie Blackall,female,2018,3,preschool,male,fiction,human,ALSC
Hello Ruby: Adventures in Coding,Linda Liukas,female,2015,4,preschool,female,fiction,human,Ozobot
"Hello, Baby Beluga",Darrin Lunde,male,2011,1,infant/toddler,male,fiction,non-human,Charlesbridge
"Hello, I'm Johnny Cash",G. Neri,male,2014,9,middle elementary,male,non-fiction,human,ALSC
"Hello, Mama Wallaroo",Darrin Lunde,male,2013,3,preschool,female,fiction,non-human,Charlesbridge
"Hello, My Name is Octicorn",Kevin Diller,male,2013,4,preschool,male,fiction,non-human,Childhood101
"Hello, Rock",Roger Bradfield,male,1965,5,preschool,male,fiction,human,TIME
Help Find Frank,Anne Bollman,female,2018,3,preschool,male,fiction,non-human,Sterling Publishing
Henri's Scissors,Jeanette Winter,female,2013,5,preschool,male,non-fiction,human,Childhood101
Henrietta and the Golden Eggs,Hanna Johansen,female,1998,5,preschool,female,fiction,non-human,Charlesbridge
Henry and Mudge and a Very Merry Christmas,Cynthia Rylant,female,2004,5,preschool,male,fiction,human,Today's Parent
Henry and Mudge and Annie's Good Move,Cynthia Rylant,female,1998,5,preschool,male,fiction,human,Today's Parent
Henry and Mudge and Annie's Perfect Pet,Cynthia Rylant,female,2000,5,preschool,male,fiction,human,Today's Parent
Henry and Mudge and Mrs. Hopper's House,Cynthia Rylant,female,2003,5,preschool,male,fiction,human,Today's Parent
Henry and Mudge and the Bedtime Thumps,Cynthia Rylant,female,1991,5,preschool,male,fiction,human,Today's Parent
Henry and Mudge and the Best Day of All,Cynthia Rylant,female,1995,5,preschool,male,fiction,human,Today's Parent
Henry and Mudge and the Big Sleepover,Cynthia Rylant,female,1998,5,preschool,male,fiction,human,Today's Parent
Henry and Mudge and the Careful Cousin,Cynthia Rylant,female,1994,5,preschool,male,fiction,human,Today's Parent
Henry and Mudge and the Family Trees,Cynthia Rylant,female,1997,5,preschool,male,fiction,human,Today's Parent
Henry and Mudge and the Forever Sea,Cynthia Rylant,female,1989,5,preschool,male,fiction,human,Today's Parent
Henry and Mudge and the Funny Lunch,Cynthia Rylant,female,2004,5,preschool,male,fiction,human,Today's Parent
Henry and Mudge and the Great Grandpas,Cynthia Rylant,female,2005,5,preschool,male,fiction,human,ALSC
Henry and Mudge and the Happy Cat,Cynthia Rylant,female,1990,5,preschool,male,fiction,human,Today's Parent
Henry and Mudge and the Long Weekend,Cynthia Rylant,female,1992,5,preschool,male,fiction,human,Today's Parent
Henry and Mudge and the Sneaky Crackers,Cynthia Rylant,female,1998,5,preschool,male,fiction,human,Today's Parent
Henry and Mudge and the Snowman Plan,Cynthia Rylant,female,1999,5,preschool,male,fiction,human,Today's Parent
Henry and Mudge and the Starry Night,Cynthia Rylant,female,1998,5,preschool,male,fiction,human,Today's Parent
Henry and Mudge and the Tall Tree House,Cynthia Rylant,female,2002,5,preschool,male,fiction,human,Today's Parent
Henry and Mudge and the Tumbling Trip,Cynthia Rylant,female,2005,5,preschool,male,fiction,human,Today's Parent
Henry and Mudge and the Wild Goose Chase,Cynthia Rylant,female,2003,5,preschool,male,fiction,human,Today's Parent
Henry and Mudge and the Wild Wind,Cynthia Rylant,female,1993,5,preschool,male,fiction,human,Today's Parent
Henry and Mudge Get the Cold Shivers,Cynthia Rylant,female,1989,5,preschool,male,fiction,human,Today's Parent
Henry and Mudge in Green Time,Cynthia Rylant,female,1987,5,preschool,male,fiction,human,Today's Parent
Henry and Mudge in Puddle Trouble,Cynthia Rylant,female,1987,5,preschool,male,fiction,human,Today's Parent
Henry and Mudge in the Sparkle Days,Cynthia Rylant,female,1988,5,preschool,male,fiction,human,Today's Parent
Henry and Mudge Take the Big Test,Cynthia Rylant,female,1991,5,preschool,male,fiction,human,Today's Parent
Henry and Mudge Under the Yellow Moon,Cynthia Rylant,female,1987,5,preschool,male,fiction,human,Today's Parent
Henry and Mudge: The First Book,Cynthia Rylant,female,1987,5,preschool,male,fiction,human,Today's Parent
Henry David's House,Henry David Thoreau,male,2002,5,preschool,male,non-fiction,human,Charlesbridge
Henry Ford: Putting the World on Wheels,Dina El Nabli,female,2008,6,early elementary,male,non-fiction,human,Barnes & Noble
Henry's First-Moon Birthday,Lenore Look,female,2001,4,preschool,female,fiction,human,ALSC
Henry's Freedom Box,Ellen Levine,female,2007,4,preschool,male,non-fiction,human,Huffington Post
Her Right Foot,Dave Eggers,male,2017,3,preschool,female,non-fiction,non-human,ALSC
Here Lies Arthur,Philip Reeve,male,2007,12,late elementary,female,fiction,human,ALSC
"Here, George!",Sandra Boynton,female,2018,1,infant/toddler,male,fiction,non-human,Bookvine
"Hey, Dog",Tony Johnston,female,2019,4,preschool,male,fiction,human,Charlesbridge
"Hey, Kiddo: How I Lost My Mother, Found My Father, and Dealt with Family Addiction",Jarrett Krosoczka,male,2018,11,late elementary,male,non-fiction,human,ALSC
"Hey, Water!",Antoinette Portis,female,2019,4,preschool,female,non-fiction,human,ALSC
Hi!,Ann Herbert Scott,female,1994,5,preschool,female,fiction,human,ALSC
Hiawatha and the Peacemaker,Robbie Robertson,male,2015,4,preschool,male,fiction,human,ALSC
Hidden Worlds: Looking Through a Scientist's Microscope,Stephen Kramer,male,2001,10,middle elementary,male,non-fiction,human,ALSC
Hidden: A Child's Story of the Holocaust,Loic Dauvillier,male,2014,6,early elementary,female,fiction,human,ALSC
Higher! Higher!,Leslie Patricelli,female,2009,2,infant/toddler,female,fiction,human,ALSC
Hip-Pocket Papa,Sandra Markle,female,2010,4,preschool,male,non-fiction,non-human,ALSC
"Hippo! No, Rhino!",Jeff Newman,male,2006,5,preschool,male,fiction,human,ALSC
His Dark Materials: The Golden Compass,Philip Pullman,male,1995,8,early elementary,female,fiction,human,Time Out
Hob and the Goblins,William Mayne,male,1993,8,early elementary,male,fiction,non-human,ALSC
Hobgoblin and the Seven Stinkers of Rancidia,Kyle Sullivan,male,2019,8,early elementary,male,fiction,non-human,CBSD
Hold Fast,Blue Balliett,female,2013,10,middle elementary,female,fiction,human,Common Sense Media
Hole in My Life,Jack Gantos,male,2002,14,teen,male,non-fiction,human,ALSC
Holes,Louis Sachar,male,1998,10,middle elementary,male,fiction,human,NYPL
Holy Squawkamole! Little Red Hen Makes Guacamole,Susan Wood,female,2019,3,preschool,female,fiction,non-human,Sterling Publishing
Home Girl,Alex Wheatle,male,2019,12,late elementary,female,fiction,human,CBSD
Home in the Rain,Bob Graham,male,2016,3,preschool,female,fiction,human,ALSC
Home Run: The Story of Babe Ruth,Robert Burleigh,male,1995,4,preschool,male,non-fiction,human,ALSC
Homeless Bird,Gloria Whelan,female,2000,8,early elementary,female,fiction,human,ALSC
Hooray for Anna Hibiscus,Atinuke,female,2007,6,early elementary,female,fiction,human,What Do We Do All Day
Hooray for Fish!,Lucy Cousins,female,2005,4,preschool,male,fiction,non-human,Childhood101
Hoot,Carl Hiaasen,male,2002,10,middle elementary,male,fiction,human,ALSC
Hooway for Wodney Wat,Helen Lester,female,1999,4,preschool,male,fiction,non-human,Who HQ
Hope Is a Ferris Wheel,Robin Herrera,female,2014,8,early elementary,female,fiction,human,ALSC
Hope Was Here,Joan Bauer,female,2000,12,late elementary,female,fiction,human,ALSC
"Hopping Ahead of Climate Change: Snowshow Hares, Science, and Survival",Sneed Collard III,male,2016,7,early elementary,male,non-fiction,human,Science 
House of the Red Fish,Graham Salisbury,male,2006,12,late elementary,male,fiction,human,ALSC
How Does My Fruit Grow?,Gerda Muller,female,2018,4,preschool,female,fiction,human,CBSD
How I Became a Pirate,Melinda Long,female,2006,3,preschool,male,fiction,human,Huffington Post
How I Became an American,Karin Gundisch,female,2000,8,early elementary,male,fiction,human,ALSC
How I Discovered Poetry,Marilyn Nelson,female,2014,12,late elementary,female,non-fiction,human,ALSC
How I Learned Geography,Uri Shulevitz,male,2008,4,preschool,male,non-fiction,human,ALSC
How Machines Work: Zoo Break!,David Macaulay,male,2015,7,early elementary,male,fiction,non-human,Brain Pickings
How Much is a Million?,David Schwartz,male,1985,4,preschool,male,fiction,human,Childhood101
How Much Is That Doggie in the Window?,Iza Trapani,female,2004,2,infant/toddler,male,fiction,human,Charlesbridge
How Oliver Olson Changed the World,Claudia Mills,female,2009,7,early elementary,male,fiction,human,ALSC
How Rocket Learned to Read,Tad Hills,male,2010,3,preschool,male,fiction,non-human,TIME
How Santa Got His Job,Stephen Krensky,male,1998,4,preschool,male,fiction,human,ALSC
How the Sphinx Got to the Museum,Jessie Hartland,female,2010,6,early elementary,female,non-fiction,human,Smithsonian
How to Babysit a Grandma,Jean Reagan,female,2014,5,preschool,female,fiction,human,Best Products
How to Be an Elephant: Growing Up in the African Wild,Katherine Roy,female,2017,8,early elementary,female,non-fiction,non-human,ALSC
How to Become a Knight [in Ten Easy Lessons],Todd Tarpley,male,2018,4,preschool,male,fiction,human,Sterling Publishing
How to Build a Hug: Temple Grandin and Her Amazing Squeeze Machine,Amy Guglielmo and Jacqueline Tourville,female,2018,4,preschool,female,non-fiction,human,Smithsonian
How to Catch a Bogle,Catherine Jinks,female,2013,10,middle elementary,female,fiction,human,ALSC
How to Catch a Star,Oliver Jeffers,male,2004,3,preschool,male,fiction,human,Childhood101
How to Code a Sandcastle,Josh Funk,male,2018,4,preschool,female,fiction,human,Smithsonian
How to Feed Your Parents,Ryan Miller,male,2018,3,preschool,female,fiction,human,Sterling Publishing
How to Heal a Broken Wing,Bob Graham,male,2008,3,preschool,male,fiction,human,ALSC
How to Paint the Portrait of a Bird,Jacques Prevert,male,2007,5,preschool,male,fiction,human,ALSC
How to Speak�Dolphin,Ginny Rorby,female,2015,8,early elementary,female,fiction,human,A Mighty Girl
How to Train the Perfect Parents,Rebecca Ashdown,female,2018,5,preschool,female,fiction,human,Sterling Publishing
How to Train Your Dragon: The Hidden World,Emily Stead,female,2019,6,early elementary,male,fiction,human,Sterling Publishing
"Howard Wallace, P.I. ",Casey Lyall,female,2016,8,early elementary,male,fiction,human,Sterling Publishing
Hubble Bubble Granny Trouble,Tracey Corderoy,female,2011,3,preschool,female,fiction,human,Childhood101
Hug,Jez Alborough,male,2001,2,infant/toddler,male,fiction,non-human,Huffington Post
Hug Me,Simona Ciraolo,female,2014,3,preschool,male,fiction,non-human,My Domaine
Hugging the Rock,Susan Taylor Brown,female,2006,8,early elementary,male,fiction,human,ALSC
Hugo Pepper,Paul Stewart and Chris Riddell,male,2006,8,early elementary,male,fiction,human,Wired
Human Body Theater,Maris Wicks,female,2000,10,middle elementary,female,fiction,human,Common Sense Media
Hurricane Dancers: The First Caribbean Pirate Shipwreck,Margarita Engle,female,2011,12,late elementary,male,fiction,human,ALSC
"Hush Now, Banshee!",Kyle Sullivan,male,2018,1,infant/toddler,female,fiction,non-human,CBSD
Hush! A Thai Lullaby,Minfong Ho,female,1996,5,preschool,female,fiction,human,Huffington Post
I Ain't Gonna Paint No More!,Karen Beaumont,female,2005,4,preschool,male,fiction,human,ALSC
I am a Big Sister!,Caroline Jayne Church,female,2015,2,infant/toddler,female,fiction,human,WCBC
I Am a Bunny,Ole Risom,male,1963,4,preschool,male,fiction,non-human,Naeyc
I am Albert Einstein,Grace Norwich,female,2012,8,early elementary,male,non-fiction,human,Barnes & Noble
I am Albert Einstein,Brad Meltzer,male,2014,8,early elementary,male,non-fiction,human,Barnes & Noble
I Am an American: A True Story of Japanese Internment,Jerry Stanley,male,1994,10,middle elementary,male,non-fiction,human,ALSC
I Am David,Anne Holm,female,1963,7,early elementary,male,fiction,human,Childhood101
I Am Jane Goodall,Brad Meltzer,male,2016,5,preschool,female,non-fiction,human,Ozobot
I Am Malala: How One Girl Stood Up for Education and Changed the World,Malala Yousafzai and Patricia McCormick,female,2013,10,middle elementary,female,non-fiction,human,Common Sense Media
I am Marie Curie ,Brad Meltzer,male,2019,5,preschool,female,non-fiction,human,Barnes & Noble
I am Neil Armstrong,Brad Meltzer,male,2018,5,preschool,male,non-fiction,human,Childhood101
I am Neil Armstrong ,Brad Meltzer ,male,2018,5,preschool,male,non-fiction,human,Barnes & Noble
I Am Not a Number,Jenny Kay Dupuis and Kathy Kacer,female,2016,7,early elementary,female,fiction,human,ALSC
I Am the Boss of This Chair,Carolyn Crimi,female,2018,4,preschool,male,fiction,non-human,Sterling Publishing
I Can Make This Promise,Christine Day,female,2019,8,early elementary,female,fiction,human,ALSC
I Can Save the Earth!,Alison Inches,female,2008,4,preschool,male,fiction,non-human,Childhood101
I Can See Just Fine,Eric Barclay,male,2013,3,preschool,female,fiction,human,Bookvine
I Dissent: Ruth Bader Ginsburg Makes Her Mark,Debbie Levy,female,2016,4,preschool,female,non-fiction,human,ALSC
I Don't Want to Be a Frog,Dev Petty,female,2015,3,preschool,male,fiction,non-human,Childhood101
I Hadn't Meant to Tell You This,Jaqueline Woodson,female,1994,12,late elementary,female,fiction,human,ALSC
I Have Heard of a Land,Joyce Carol Thomas,female,1998,4,preschool,female,non-fiction,human,ALSC
I Hug You and You,David McPhail,male,2018,2,infant/toddler,female,fiction,human,Bookvine
I Know a Rhino,Charles Fuge,male,2002,5,preschool,female,fiction,human,Parents
I Lived on Butterfly Hill,Marjorie Agosin,female,2014,10,middle elementary,female,fiction,human,ALSC
I Lost My Bear,Jules Feiffer,male,1998,4,preschool,female,fiction,human,ALSC
I Lost My Tooth in Africa,Penda Diakite,female,2006,4,preschool,female,fiction,human,ALSC
I Love My Hair!,Natasha Anastasia Tarpley,female,2001,5,preschool,female,fiction,human,Childhood101
I Love Saturdays y Domingos,Alma Flor Ada,female,1999,5,preschool,female,fiction,human,Childhood101
I Love You Because You're You,Liza Baker,female,2001,3,preschool,female,fiction,non-human,Gentle Nursery
I Love You Through and Through,Bernadette Rossetti Shustak,female,2005,2,infant/toddler,male,fiction,human,WCBC
"I Love You, Stinky Face",Lisa McCourt,female,1997,4,preschool,male,fiction,human,WCBC
I Need a Hug,Aaron Blabey,male,2015,3,preschool,male,fiction,non-human,Childhood101
I Own the Racecourse!,Patricia Wrightson,female,1968,10,middle elementary,male,fiction,human,CBSD
I Play,David McPhail,male,2015,1,infant/toddler,male,fiction,non-human,Bookvine
I See a Cat,Paul Meisel,male,2017,3,preschool,male,fiction,non-human,ALSC
I Spy Fly Guy!,Tedd Arnold,male,2009,4,preschool,male,fiction,non-human,ALSC
I Stink!,Kate McMullan,female,2002,2,infant/toddler,male,fiction,human,ALSC
I Want My Hat Back,Jon Klassen,male,2011,4,preschool,male,fiction,non-human,TIME
I Want to Be a Doctor,Laura Driscoll,female,2018,4,preschool,female,fiction,human,Barnes & Noble
I Want to Be a Pilot,Laura Driscoll,female,2019,4,preschool,female,fiction,human,Barnes & Noble
I Want to Be a Police Officer,Laura Driscoll,female,2000,4,preschool,female,fiction,human,Barnes & Noble
I Want to Be a Veterinarian,Laura Driscoll,female,2018,4,preschool,male,fiction,human,Barnes & Noble
I Want to Be an Astronaut,Byron Barton,male,1988,0,infant/toddler,female,fiction,human,A Mighty Girl
I Want to Go Green! But What Does that�Mean?,Jill Dunn,female,2011,4,preschool,male,fiction,human,A Mighty Girl
I Was an Outer-Space Chicken,David LaRochelle,male,2019,9,middle elementary,female,fiction,human,Sterling Publishing
I Went Walking,Sue Williams,female,1998,2,infant/toddler,male,fiction,human,Huffington Post
I Wish That I Had Duck Feet,Dr. Seuss,male,1965,6,early elementary,male,fiction,human,Childhood101
I Wished for You: An Adoption Story,Marianne Richmond,female,2008,2,infant/toddler,male,fiction,non-human,Best Products
I Wonder,Annaka Harris,female,2013,4,preschool,female,fiction,human,A Mighty Girl
"I, Crocodile",Fred Marcellino,male,1999,4,preschool,male,fiction,non-human,ALSC
"I, Galileo",Bonnie Christensen,female,2012,8,early elementary,male,non-fiction,human,Goodreads
I'll Always Love You,Hans Wilhelm,male,1985,3,preschool,male,fiction,human,Childhood101
I'm a Firefighter,Brian Briggs,male,2016,4,preschool,male,fiction,human,Bookvine
I'm a Mail Carrier�,Brian Biggs,male,2018,4,preschool,female,fiction,human,Bookvine
I'm a Police Officer,Brian Briggs,male,2017,2,infant/toddler,female,fiction,human,Bookvine
I'm a Shark,Bob Shea,male,2011,4,preschool,male,fiction,non-human,Childhood101
I'm Going to Preschool,Marion Cocklico,female,2018,1,infant/toddler,male,fiction,human,Sterling Publishing
I'm Not Afraid of the Dark,Helena Harastova,female,2017,4,preschool,male,fiction,human,Sterling Publishing
I'm Not Cute!,Jonathan Allen,male,2004,1,infant/toddler,male,fiction,non-human,Sterling Publishing
I'm Not Reading!,Jonathan Allen,male,2013,1,infant/toddler,male,fiction,non-human,Sterling Publishing
I'm Not Ready!,Jonathan Allen,male,2011,1,infant/toddler,male,fiction,non-human,Sterling Publishing
I'm Not Santa!,Jonathan Allen,male,2008,1,infant/toddler,male,fiction,non-human,Sterling Publishing
I'm Not Sleepy!,Jonathan Allen,male,2010,1,infant/toddler,male,fiction,non-human,Sterling Publishing
I'm the Best,Lucy Cousins,female,2010,2,infant/toddler,male,fiction,non-human,Today
I�m a Little Teapot,Iza Trapani,female,1996,2,infant/toddler,male,fiction,non-human,Charlesbridge
Ibn al-Baitar: Doctor of Natural Medicine,Ahmed Imam,male,2019,3,preschool,male,non-fiction,human,CBSD
Ibn Battuta: The Great Traveller,Ahmed Imam,male,2019,3,preschool,male,non-fiction,human,CBSD
Ibn Majid: The Master Navigator,Ahmed Imam,male,2019,3,preschool,male,non-fiction,human,CBSD
Ibn Yunus: The Father of Astronomy,Ahmed Imam,male,2019,3,preschool,male,non-fiction,human,CBSD
If a T. Rex Crashes Your Birthday Party,Jill Esbaum,female,2016,4,preschool,male,fiction,human,Sterling Publishing
If I Built a House,Chris Van Dusen,male,2012,3,preschool,male,fiction,human,Childhood101
If I Had a Raptor,George O'Connor,male,2014,3,preschool,female,fiction,human,Good Housekeeping
"If You Ever Want to Bring a Piano to the Beach, Don't!",Elise Parsley,female,2016,4,preschool,female,fiction,human,WCBC
"If You Ever Want to Bring an Alligator to School, Don't!",Elise Parsley,female,2015,5,preschool,female,fiction,human,Good Housekeeping
If You Give a Moose a Muffin,Laura Numeroff,female,1991,4,preschool,male,fiction,non-human,Thrive Global
If You Give a Mouse a Cookie,Laura Numeroff,female,1985,4,preschool,male,fiction,non-human,TIME
"Iggy Peck, Architect",Andrea Beaty,female,2007,5,preschool,male,non-fiction,human,Money Prodigy
Illegal ,Eoin Colfer and Andrew Donkin,male,2018,11,late elementary,male,fiction,human,ALSC
Imaginationally: Michael's Lovable Fun of Dictionaries,Michael Bernard Loggins,male,2007,6,early elementary,male,non-fiction,human,CBSD
Imagine ,Juan Felipe Herrerra,male,2018,3,preschool,male,non-fiction,human,ALSC
Imagine That! How Dr. Suess Wrote Cat in the Hat,Judy Sierra,female,2017,3,preschool,male,non-fiction,human,Money Prodigy
Imagine!,Raul Colon,male,2018,3,preschool,male,non-fiction,human,ALSC
"In a Minute, Mama Bear",Rachel Bright,female,2019,2,infant/toddler,female,fiction,non-human,Best Products
